8/1/13 10:39:41 AM EDT,2432,652
8/1/13 10:39:41 AM EDT,2436,668
8/1/13 10:39:41 AM EDT,2443,656
8/1/13 10:39:41 AM EDT,2460,646
8/1/13 10:39:41 AM EDT,2461,658
8/1/13 10:39:41 AM EDT,2471,655
8/1/13 10:39:41 AM EDT,2472,658
8/1/13 10:39:41 AM EDT,2473,652
8/1/13 10:39:41 AM EDT,2474,659
8/1/13 10:39:41 AM EDT,2475,652
8/1/13 10:39:41 AM EDT,2476,652
8/1/13 10:39:41 AM EDT,2477,663
8/1/13 10:39:41 AM EDT,2478,651
8/1/13 10:39:41 AM EDT,2479,644
8/1/13 10:39:41 AM EDT,2480,643
8/1/13 10:39:41 AM EDT,2481,663
8/1/13 10:39:41 AM EDT,2482,648
8/1/13 10:39:41 AM EDT,2483,665
8/1/13 10:39:41 AM EDT,2484,658
8/1/13 10:39:41 AM EDT,2485,682
8/1/13 10:39:41 AM EDT,2486,656
8/1/13 10:39:41 AM EDT,2487,663
8/1/13 10:39:41 AM EDT,2488,649
8/1/13 10:39:41 AM EDT,2489,668
8/1/13 10:39:41 AM EDT,2490,650
8/1/13 10:39:41 AM EDT,2980,659
8/1/13 10:39:41 AM EDT,2981,658
8/1/13 10:39:41 AM EDT,2982,645
8/1/13 10:39:41 AM EDT,2983,660
8/1/13 10:39:41 AM EDT,2984,654
8/1/13 10:39:41 AM EDT,2985,649
8/1/13 10:39:41 AM EDT,2986,673
8/1/13 10:39:41 AM EDT,2987,658
8/1/13 10:39:41 AM EDT,2988,656
8/1/13 10:39:41 AM EDT,2989,657
8/1/13 10:39:41 AM EDT,2990,658
8/1/13 10:39:41 AM EDT,2991,650
8/1/13 10:39:41 AM EDT,2992,654
8/1/13 10:39:41 AM EDT,2993,667
8/1/13 10:39:41 AM EDT,2994,662
8/1/13 10:39:41 AM EDT,2995,651
8/1/13 10:39:41 AM EDT,2996,656
8/1/13 10:39:41 AM EDT,2997,665
8/1/13 10:39:41 AM EDT,2998,657
8/1/13 10:39:41 AM EDT,2999,655
